type,stage,stage_image_url,grid_cols,grid_rows,designator_type,background_url,,,,,,,,,,,,,,
stage,1,,8,6,letters,,,,,,,,,,,,,,,
stage,2,,8,6,letters,,,,,,,,,,,,,,,
stage,3,,8,6,letters,,,,,,,,,,,,,,,
stage,4,,8,6,letters,,,,,,,,,,,,,,,
stage,5,,8,6,letters,,,,,,,,,,,,,,,
stage,6,,8,6,letters,,,,,,,,,,,,,,,
stage,7,,8,6,letters,,,,,,,,,,,,,,,
stage,8,,8,6,letters,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
type,stage,question,question_text,question_image_url,correct_answer,a1_text,a1_image,a2_text,a2_image,a3_text,a3_image,a4_text,a4_image,a5_text,a5_image,a6_text,a6_image,object_name,object_col,object_row
question,1,1,Which statement about work is NOT correct? (Box pushed on frictionless floor),,3,Work requires displacement,,Work done because net force is not zero,,No work — floor is frictionless,,Work only if speed increases,,,,,,Clue 1,1,0,,
question,1,2,A book sits 2 m above the floor. What form of energy does it primarily have?,,3,Kinetic energy,,Chemical energy,,Gravitational potential energy,,Thermal energy,,,,,,Clue 2,5,0,,
question,1,3,Ball A thrown upward at 2x Ball B speed. Ball A kinetic energy is _____ Ball B's.,,2,Twice,,Four times,,The same,,Half,,,,,,Clue 3,0,3,,
question,1,4,"Roller coaster from rest at top — ignoring friction, what is true at the bottom?",,3,PE increased; KE decreased,,Total mechanical energy increased,,All PE converted to KE,,Speed equals the hill height,,,,,,Clue 4,6,3,,
question,1,5,Machine A lifts crate in 10 s; Machine B same height in 2 s. Which is true?,,2,Machine A does more work,,Same work; Machine B has greater power,,Machine B does more work,,Machine A has more power,,,,,,Clue 5,3,5,,
question,2,1,Pendulum swings with no air resistance. Total mechanical energy _____ throughout.,,3,Increases,,Decreases,,Remains constant,,Doubles at the bottom,,,,,,Clue 1,1,0,,
question,2,2,A student pushes a wall for an hour. How much PHYSICS work is done?,,2,A lot — longer push means more work,,Zero — wall has no displacement,,Some — muscles do biochemical work,,Only machines can do work,,,,,,Clue 2,5,0,,
question,2,3,A rightward force acts on an object moving LEFT. The force does _____ work.,,2,Positive,,Negative,,Zero,,,,,,,,Clue 3,0,3,,
question,2,4,Why does a thrown ball stop rising and come back down? (Energy conservation),,2,Air resistance removes all KE at the top,,Gravity converts KE to PE going up; PE to KE going down,,The ball runs out of force at the top,,The ball's mass increases as it rises,,,,,,Clue 4,6,3,,
question,2,5,A hydroelectric dam energy transformation sequence is:,,3,Electrical to Kinetic to Potential to Thermal,,Chemical to Kinetic to Electrical to Thermal,,Gravitational PE to KE to Mechanical to Electrical,,Nuclear to Thermal to KE to Electrical,,,,,,Clue 5,3,5,,
question,3,1,Skateboarder converts PE to KE down a half-pipe. She will rise to ___ height on the other side.,,2,Greater — she gained speed,,The same — energy is conserved,,No height — KE was used up at bottom,,Greater — ramp adds energy,,,,,,Clue 1,1,0,,
question,3,2,Energy bar chart: ball released from rest at highest point A. Which point has maximum KE?,,2,Point A — where it starts,,Point B — lowest height; all PE to KE,,Point C — middle of path,,Point D — gravity acted longest,,,,,,Clue 2,5,0,,
question,3,3,At the HIGHEST point of a projectile's trajectory — which is true?,,2,Both horizontal and vertical velocity are zero,,Vertical velocity is zero; horizontal is unchanged,,Horizontal is zero; vertical is unchanged,,Projectile has zero acceleration momentarily,,,,,,Clue 3,0,3,,
question,3,4,A soccer ball kicked at an angle. Which velocity component stays CONSTANT throughout flight?,,2,Vertical component,,Horizontal component,,Both stay constant,,Neither stays constant,,,,,,Clue 4,6,3,,
question,3,5,Ball thrown horizontally from table. Increasing launch HEIGHT will _____ horizontal range.,,2,Decrease — ball falls faster,,Increase — more time in the air,,Have no effect,,Decrease — less time in air,,,,,,Clue 5,3,5,,
question,4,1,Launched at 30° vs 60° with same speed — which travels to a GREATER HEIGHT?,,2,30° — greater horizontal speed,,60° — greater initial vertical speed,,They reach the same height,,Depends on launch speed,,,,,,Clue 1,1,0,,
